student_id,domain,domain_avg_score,domain_trend,domain_completion_rate,domain_overdue_count,ipsative_zscore,label
SYN-0000,language_literacy,73.38,stable,0.728,3,-0.2305,Developing
SYN-0000,stem_logic,77.61,stable,0.775,3,0.7948,Strength
SYN-0000,creative_arts,78.35,declining,0.767,1,0.974,Emerging
SYN-0000,physical_movement,67.98,stable,0.83,2,-1.5383,Emerging
SYN-0001,language_literacy,70.31,declining,0.745,1,-0.6231,Emerging
SYN-0001,stem_logic,97.04,stable,1.0,0,1.5653,Strength
SYN-0001,creative_arts,64.85,declining,0.804,0,-1.0701,Emerging
SYN-0001,physical_movement,79.48,stable,0.82,0,0.1279,Developing
SYN-0002,language_literacy,53.64,stable,0.668,1,0.6726,Developing
SYN-0002,stem_logic,48.92,improving,0.716,1,-1.7281,Emerging
SYN-0002,creative_arts,53.44,stable,0.53,5,0.5738,Developing
SYN-0002,physical_movement,53.26,improving,0.554,3,0.4817,Developing
SYN-0003,language_literacy,81.19,improving,0.769,1,1.4332,Strength
SYN-0003,stem_logic,75.18,stable,0.723,0,-0.132,Developing
SYN-0003,creative_arts,76.01,stable,0.714,0,0.0849,Developing
SYN-0003,physical_movement,70.36,stable,0.777,0,-1.3861,Emerging
SYN-0004,language_literacy,58.92,stable,0.741,2,-0.7451,Emerging
SYN-0004,stem_logic,72.11,stable,0.977,0,1.5615,Strength
SYN-0004,creative_arts,57.53,stable,0.686,0,-0.9884,Emerging
SYN-0004,physical_movement,64.17,declining,0.661,3,0.1721,Emerging
SYN-0005,language_literacy,75.71,stable,0.848,0,1.0713,Strength
SYN-0005,stem_logic,67.99,declining,0.717,0,-0.1682,Emerging
SYN-0005,creative_arts,73.07,stable,0.724,3,0.6476,Developing
SYN-0005,physical_movement,59.37,stable,0.888,0,-1.5507,Emerging
SYN-0006,language_literacy,73.81,stable,0.761,2,0.548,Strength
SYN-0006,stem_logic,82.36,improving,1.0,0,1.3646,Strength
SYN-0006,creative_arts,57.37,declining,0.794,5,-1.0223,Emerging
SYN-0006,physical_movement,58.76,declining,0.741,0,-0.8903,Emerging
SYN-0007,language_literacy,67.17,stable,0.9,1,0.4792,Developing
SYN-0007,stem_logic,69.47,stable,0.717,1,0.7937,Developing
SYN-0007,creative_arts,66.91,improving,0.611,3,0.443,Developing
SYN-0007,physical_movement,51.1,stable,0.773,2,-1.7159,Emerging
SYN-0008,language_literacy,89.09,stable,1.0,0,0.2214,Developing
SYN-0008,stem_logic,84.36,stable,0.875,0,-0.8131,Emerging
SYN-0008,creative_arts,83.73,stable,0.971,0,-0.9521,Emerging
SYN-0008,physical_movement,95.12,stable,1.0,0,1.5438,Strength
SYN-0009,language_literacy,51.31,stable,0.518,4,-0.6027,Emerging
SYN-0009,stem_logic,69.53,stable,0.869,2,1.663,Strength
SYN-0009,creative_arts,48.73,declining,0.716,4,-0.9232,Emerging
SYN-0009,physical_movement,55.05,declining,0.537,1,-0.1372,Emerging
SYN-0010,language_literacy,49.15,stable,0.584,3,-1.2052,Emerging
SYN-0010,stem_logic,79.91,stable,0.826,1,0.6997,Strength
SYN-0010,creative_arts,88.56,improving,0.835,2,1.2352,Strength
SYN-0010,physical_movement,56.83,stable,0.808,2,-0.7297,Emerging
SYN-0011,language_literacy,83.82,improving,1.0,1,1.6047,Strength
SYN-0011,stem_logic,62.03,stable,0.801,1,0.0725,Developing
SYN-0011,creative_arts,50.23,declining,0.502,2,-0.7569,Emerging
SYN-0011,physical_movement,47.9,stable,0.479,2,-0.9203,Emerging
SYN-0012,language_literacy,83.96,stable,0.869,0,0.9335,Strength
SYN-0012,stem_logic,73.32,declining,0.768,0,0.1627,Emerging
SYN-0012,creative_arts,48.06,declining,0.554,4,-1.6664,Emerging
SYN-0012,physical_movement,78.95,improving,0.844,3,0.5702,Strength
SYN-0013,language_literacy,59.53,stable,0.772,1,0.0432,Developing
SYN-0013,stem_logic,54.5,stable,0.656,5,-0.3315,Developing
SYN-0013,creative_arts,79.5,improving,1.0,0,1.531,Strength
SYN-0013,physical_movement,42.28,declining,0.418,2,-1.2427,Emerging
SYN-0014,language_literacy,78.16,improving,0.705,4,0.6302,Developing
SYN-0014,stem_logic,53.7,stable,0.623,4,-0.9273,Emerging
SYN-0014,creative_arts,88.84,declining,0.98,0,1.3102,Emerging
SYN-0014,physical_movement,52.35,improving,0.493,3,-1.0131,Emerging
SYN-0015,language_literacy,82.29,declining,0.874,1,-0.4997,Emerging
SYN-0015,stem_logic,77.06,declining,0.867,0,-1.3075,Emerging
SYN-0015,creative_arts,88.45,stable,0.902,0,0.4521,Developing
SYN-0015,physical_movement,94.3,stable,1.0,0,1.3551,Strength
SYN-0016,language_literacy,64.3,declining,0.654,2,-0.5475,Emerging
SYN-0016,stem_logic,55.96,stable,0.67,1,-1.3668,Emerging
SYN-0016,creative_arts,79.54,improving,0.822,1,0.9492,Strength
SYN-0016,physical_movement,79.7,stable,0.744,2,0.965,Developing
SYN-0017,language_literacy,75.3,stable,0.946,0,0.5328,Strength
SYN-0017,stem_logic,63.57,declining,0.746,4,-1.2732,Emerging
SYN-0017,creative_arts,80.44,improving,0.927,0,1.3244,Strength
SYN-0017,physical_movement,68.04,stable,0.802,1,-0.584,Emerging
SYN-0018,language_literacy,74.98,stable,0.826,3,0.437,Developing
SYN-0018,stem_logic,60.82,declining,0.825,0,-0.637,Emerging
SYN-0018,creative_arts,87.69,improving,1.0,0,1.4006,Strength
SYN-0018,physical_movement,53.39,stable,0.611,3,-1.2006,Emerging
SYN-0019,language_literacy,64.34,stable,0.753,3,-0.4081,Developing
SYN-0019,stem_logic,60.37,stable,0.906,0,-0.8328,Emerging
SYN-0019,creative_arts,84.09,improving,0.974,0,1.709,Strength
SYN-0019,physical_movement,63.78,improving,0.78,1,-0.4681,Developing
SYN-0020,language_literacy,73.4,stable,0.755,1,0.1967,Developing
SYN-0020,stem_logic,69.25,stable,0.774,5,-1.2162,Emerging
SYN-0020,creative_arts,71.41,declining,0.759,1,-0.4808,Emerging
SYN-0020,physical_movement,77.23,stable,0.826,0,1.5003,Strength
SYN-0021,language_literacy,55.36,declining,0.625,4,-1.3243,Emerging
